task,condition,state_type,seed,budget,challenger,full_decision,recall,support,gini,repair_gain,repair_cost,residual_warning,unresolved_warning,oracle_safe,geometry_ok
requests,repair:random,seeded_unsafe_repair,63,4,random,CONTINUE,0.3120805369127516,0.375,0.873550724637681,62.0,2706.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,64,4,random,CONTINUE,0.2114093959731543,0.4166666666666667,0.8692028985507245,32.0,3652.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,65,4,random,CONTINUE,0.2147651006711409,0.3333333333333333,0.8764492753623188,33.0,2341.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,66,4,random,CONTINUE,0.2315436241610738,0.3333333333333333,0.8764492753623188,38.0,2206.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,67,4,random,CONTINUE,0.3859060402684564,0.375,0.873550724637681,84.0,3470.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,68,4,random,CONTINUE,0.4832214765100671,0.4166666666666667,0.8692028985507245,113.0,4042.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,69,4,random,CONTINUE,0.1174496644295302,0.2916666666666667,0.8829710144927536,4.0,2635.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,70,4,random,CONTINUE,0.3590604026845637,0.375,0.873550724637681,76.0,3135.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,71,4,random,CONTINUE,0.4597315436241611,0.4166666666666667,0.8692028985507245,106.0,2672.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,72,4,random,CONTINUE,0.2818791946308724,0.375,0.8742753623188404,53.0,2770.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,73,4,random,CONTINUE,0.2953020134228188,0.4166666666666667,0.8692028985507245,57.0,2880.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,74,4,random,CONTINUE,0.2583892617449664,0.4166666666666667,0.8692028985507245,46.0,2672.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,75,4,random,CONTINUE,0.2751677852348993,0.3333333333333333,0.8793478260869565,51.0,3605.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,76,4,random,CONTINUE,0.2651006711409396,0.4166666666666667,0.8692028985507245,48.0,2549.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,77,4,random,CONTINUE,0.110738255033557,0.4166666666666667,0.8692028985507245,2.0,942.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,78,4,random,CONTINUE,0.1174496644295302,0.3333333333333333,0.8764492753623188,4.0,2253.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,79,4,random,CONTINUE,0.2953020134228188,0.4166666666666667,0.8692028985507245,57.0,2341.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,80,4,random,CONTINUE,0.2080536912751678,0.375,0.875,31.0,3270.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,81,4,random,CONTINUE,0.3624161073825503,0.375,0.875,77.0,3015.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,82,4,random,CONTINUE,0.2919463087248322,0.375,0.873550724637681,56.0,2341.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,83,4,random,CONTINUE,0.4496644295302013,0.4166666666666667,0.8692028985507245,103.0,2931.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,84,4,random,CONTINUE,0.197986577181208,0.3333333333333333,0.8793478260869565,28.0,3135.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,85,4,random,CONTINUE,0.2416107382550335,0.4166666666666667,0.8692028985507245,41.0,2770.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,86,4,random,CONTINUE,0.3523489932885906,0.375,0.875,74.0,2927.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,87,4,random,CONTINUE,0.1409395973154362,0.375,0.875,11.0,2231.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,88,4,random,CONTINUE,0.1140939597315436,0.375,0.8742753623188404,3.0,1667.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,89,4,random,CONTINUE,0.3557046979865771,0.4166666666666667,0.8692028985507245,75.0,2927.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,90,4,random,CONTINUE,0.3993288590604026,0.4166666666666667,0.8692028985507245,88.0,2978.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,91,4,random,CONTINUE,0.261744966442953,0.3333333333333333,0.8778985507246375,47.0,2770.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,92,4,random,CONTINUE,0.2449664429530201,0.3333333333333333,0.8786231884057971,42.0,3532.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,93,4,random,CONTINUE,0.2449664429530201,0.4166666666666667,0.8692028985507245,42.0,3270.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,94,4,random,CONTINUE,0.1174496644295302,0.3333333333333333,0.8793478260869565,4.0,1998.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,95,4,random,CONTINUE,0.2516778523489933,0.375,0.875,44.0,2905.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,96,4,random,CONTINUE,0.1308724832214765,0.375,0.873550724637681,8.0,2753.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,97,4,random,CONTINUE,0.1208053691275167,0.3333333333333333,0.8793478260869565,5.0,2206.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,98,4,random,CONTINUE,0.1510067114093959,0.3333333333333333,0.8793478260869565,14.0,2880.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,99,4,random,CONTINUE,0.1308724832214765,0.375,0.8742753623188404,8.0,2184.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,100,4,random,CONTINUE,0.3557046979865771,0.375,0.8742753623188404,75.0,2439.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,101,4,random,CONTINUE,0.1510067114093959,0.375,0.875,14.0,2133.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,102,4,random,CONTINUE,0.1543624161073825,0.375,0.873550724637681,15.0,2388.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,103,4,random,CONTINUE,0.3724832214765101,0.4166666666666667,0.8692028985507245,80.0,3368.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,104,4,random,CONTINUE,0.3456375838926174,0.4166666666666667,0.8692028985507245,72.0,2096.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,105,4,random,CONTINUE,0.3791946308724832,0.4166666666666667,0.8692028985507245,82.0,2537.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,106,4,random,CONTINUE,0.4865771812080537,0.375,0.875,114.0,3652.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,107,4,random,CONTINUE,0.1845637583892617,0.4166666666666667,0.8692028985507245,24.0,2905.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,108,4,random,CONTINUE,0.3422818791946309,0.375,0.873550724637681,71.0,3025.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,109,4,random,CONTINUE,0.2449664429530201,0.375,0.875,42.0,2341.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,110,4,random,CONTINUE,0.1308724832214765,0.375,0.873550724637681,8.0,3066.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,111,4,random,CONTINUE,0.1812080536912751,0.4166666666666667,0.8692028985507245,23.0,2549.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,112,4,random,CONTINUE,0.2248322147651006,0.375,0.873550724637681,36.0,3787.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,113,4,random,CONTINUE,0.348993288590604,0.4166666666666667,0.8692028985507245,73.0,3182.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,114,4,random,CONTINUE,0.1543624161073825,0.4166666666666667,0.8692028985507245,15.0,1998.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,115,4,random,CONTINUE,0.1174496644295302,0.3333333333333333,0.8786231884057971,4.0,1998.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,116,4,random,CONTINUE,0.1543624161073825,0.3333333333333333,0.8786231884057971,15.0,3062.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,117,4,random,CONTINUE,0.1073825503355704,0.375,0.8742753623188404,1.0,1510.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,118,4,random,CONTINUE,0.2080536912751678,0.3333333333333333,0.8778985507246375,31.0,2643.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,119,4,random,CONTINUE,0.1308724832214765,0.2916666666666667,0.8822463768115942,8.0,2388.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,120,4,random,CONTINUE,0.2181208053691275,0.4166666666666667,0.8692028985507245,34.0,2231.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,121,4,random,CONTINUE,0.2651006711409396,0.4166666666666667,0.8692028985507245,48.0,2723.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,122,4,random,CONTINUE,0.2382550335570469,0.375,0.873550724637681,40.0,2133.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,123,4,random,CONTINUE,0.2315436241610738,0.3333333333333333,0.8793478260869565,38.0,2745.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,124,4,random,CONTINUE,0.3187919463087248,0.3333333333333333,0.8793478260869565,64.0,1998.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,125,4,random,CONTINUE,0.1577181208053691,0.375,0.873550724637681,16.0,2133.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,126,4,random,CONTINUE,0.2986577181208054,0.375,0.8757246376811594,58.0,3397.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,127,4,random,CONTINUE,0.1711409395973154,0.375,0.8757246376811594,20.0,3054.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,128,4,random,CONTINUE,0.2348993288590604,0.4166666666666667,0.8692028985507245,39.0,2341.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,129,4,random,CONTINUE,0.2449664429530201,0.375,0.8757246376811594,42.0,2672.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,130,4,random,CONTINUE,0.2416107382550335,0.375,0.873550724637681,41.0,3270.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,131,4,random,CONTINUE,0.3657718120805369,0.4166666666666667,0.8692028985507245,78.0,2155.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,132,4,random,CONTINUE,0.1140939597315436,0.2916666666666667,0.8829710144927536,3.0,2049.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,133,4,random,CONTINUE,0.2181208053691275,0.4166666666666667,0.8692028985507245,34.0,2498.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,134,4,random,CONTINUE,0.3087248322147651,0.4166666666666667,0.8692028985507245,61.0,3113.0,True,False,False,False
