task,condition,state_type,seed,budget,decision,recall,support,gini,residual_warning,unresolved_warning,runtime_residual_items,weak_plausible_gap,repair_gain,cost
requests,repair:random,seeded_unsafe_repair,84,4,CONTINUE,0.197986577181208,0.3333333333333333,0.8793478260869565,True,False,28.0,13.0,28.0,3135.0
requests,repair:random,seeded_unsafe_repair,85,4,CONTINUE,0.2416107382550335,0.4166666666666667,0.8692028985507245,True,False,41.0,12.0,41.0,2770.0
requests,repair:random,seeded_unsafe_repair,86,4,CONTINUE,0.3523489932885906,0.375,0.875,True,False,74.0,12.0,74.0,2927.0
requests,repair:random,seeded_unsafe_repair,87,4,CONTINUE,0.1409395973154362,0.375,0.875,True,False,11.0,13.0,11.0,2231.0
requests,repair:random,seeded_unsafe_repair,88,4,CONTINUE,0.1140939597315436,0.375,0.8742753623188404,True,False,3.0,13.0,3.0,1667.0
requests,repair:random,seeded_unsafe_repair,89,4,CONTINUE,0.3557046979865771,0.4166666666666667,0.8692028985507245,True,False,75.0,12.0,75.0,2927.0
requests,repair:random,seeded_unsafe_repair,90,4,CONTINUE,0.3993288590604026,0.4166666666666667,0.8692028985507245,True,False,88.0,12.0,88.0,2978.0
requests,repair:random,seeded_unsafe_repair,91,4,CONTINUE,0.261744966442953,0.3333333333333333,0.8778985507246375,True,False,47.0,13.0,47.0,2770.0
requests,repair:random,seeded_unsafe_repair,92,4,CONTINUE,0.2449664429530201,0.3333333333333333,0.8786231884057971,True,False,42.0,13.0,42.0,3532.0
requests,repair:random,seeded_unsafe_repair,93,4,CONTINUE,0.2449664429530201,0.4166666666666667,0.8692028985507245,True,False,42.0,11.0,42.0,3270.0
requests,repair:random,seeded_unsafe_repair,94,4,CONTINUE,0.1174496644295302,0.3333333333333333,0.8793478260869565,True,False,4.0,14.0,4.0,1998.0
requests,repair:random,seeded_unsafe_repair,95,4,CONTINUE,0.2516778523489933,0.375,0.875,True,False,44.0,12.0,44.0,2905.0
requests,repair:random,seeded_unsafe_repair,96,4,CONTINUE,0.1308724832214765,0.375,0.873550724637681,True,False,8.0,12.0,8.0,2753.0
requests,repair:random,seeded_unsafe_repair,97,4,CONTINUE,0.1208053691275167,0.3333333333333333,0.8793478260869565,True,False,5.0,14.0,5.0,2206.0
requests,repair:random,seeded_unsafe_repair,98,4,CONTINUE,0.1510067114093959,0.3333333333333333,0.8793478260869565,True,False,14.0,13.0,14.0,2880.0
requests,repair:random,seeded_unsafe_repair,99,4,CONTINUE,0.1308724832214765,0.375,0.8742753623188404,True,False,8.0,13.0,8.0,2184.0
requests,repair:random,seeded_unsafe_repair,100,4,CONTINUE,0.3557046979865771,0.375,0.8742753623188404,True,False,75.0,12.0,75.0,2439.0
requests,repair:random,seeded_unsafe_repair,101,4,CONTINUE,0.1510067114093959,0.375,0.875,True,False,14.0,13.0,14.0,2133.0
requests,repair:random,seeded_unsafe_repair,102,4,CONTINUE,0.1543624161073825,0.375,0.873550724637681,True,False,15.0,12.0,15.0,2388.0
requests,repair:random,seeded_unsafe_repair,103,4,CONTINUE,0.3724832214765101,0.4166666666666667,0.8692028985507245,True,False,80.0,12.0,80.0,3368.0
requests,repair:random,seeded_unsafe_repair,104,4,CONTINUE,0.3456375838926174,0.4166666666666667,0.8692028985507245,True,False,72.0,13.0,72.0,2096.0
requests,repair:random,seeded_unsafe_repair,105,4,CONTINUE,0.3791946308724832,0.4166666666666667,0.8692028985507245,True,False,82.0,11.0,82.0,2537.0
requests,repair:random,seeded_unsafe_repair,106,4,CONTINUE,0.4865771812080537,0.375,0.875,True,False,114.0,12.0,114.0,3652.0
requests,repair:random,seeded_unsafe_repair,107,4,CONTINUE,0.1845637583892617,0.4166666666666667,0.8692028985507245,True,False,24.0,12.0,24.0,2905.0
requests,repair:random,seeded_unsafe_repair,108,4,CONTINUE,0.3422818791946309,0.375,0.873550724637681,True,False,71.0,12.0,71.0,3025.0
requests,repair:random,seeded_unsafe_repair,109,4,CONTINUE,0.2449664429530201,0.375,0.875,True,False,42.0,14.0,42.0,2341.0
requests,repair:random,seeded_unsafe_repair,110,4,CONTINUE,0.1308724832214765,0.375,0.873550724637681,True,False,8.0,13.0,8.0,3066.0
