seed,condition,dependency,n_strata,items_per_stratum,hard_fraction,stopped_round,total_items,found_items,recall,false_completion,source_coverage_ratio,coverage_entropy,coverage_hhi,coverage_gini,visit_entropy,visit_hhi,source_normalized_effective_rank,source_logdet_volume,pairwise_route_jaccard,pairwise_cosine,scout_new_items,scout_new_true_items,scout_cost,scout_novelty_per_cost,singular_values
2631,homogeneous,0.98,42,5,0.4,14,210,147,0.7,True,0.9047619047619048,3.4204718467320188,0.035598705501618116,0.395669594698721,3.3923783927583617,0.037361819727891155,0.7515038578186983,14.86254639565207,0.7753378378378378,0.8762785336641087,0,0,0,,33.662;7.7392;6.4792
2632,homogeneous,0.98,42,5,0.4,14,210,142,0.6761904761904762,True,0.8333333333333334,3.3806414966316676,0.03630206933619995,0.4041373926619829,3.3615884669148888,0.037361819727891155,0.7533674092450361,14.872745184111075,0.7806372549019608,0.8715442931316956,0,0,0,,33.557;8.1514;6.2024
2633,homogeneous,0.98,42,5,0.4,14,210,148,0.7047619047619048,True,0.9047619047619048,3.4339782093264555,0.03513333333333335,0.387936507936508,3.3978795774264006,0.037273242630385485,0.7629880423138138,14.834580998415111,0.758121758121758,0.8652835913942356,0,0,0,,32.468;7.7445;6.6196
2634,homogeneous,0.98,42,5,0.4,14,210,140,0.6666666666666666,True,0.8571428571428571,3.3723545366053687,0.03712773073042434,0.4190315856982525,3.3399032270457343,0.03915107709750567,0.7510125389067418,14.743912495546684,0.78125,0.877644826561888,0,0,0,,33.044;7.4082;6.4982
2635,homogeneous,0.98,42,5,0.4,14,210,146,0.6952380952380952,True,0.9761904761904762,3.4347281634068136,0.03586794322996656,0.39957567185289955,3.3989844214465412,0.03792871315192743,0.7233384668298322,14.294497522497272,0.7162071846282373,0.8964215574200836,0,0,0,,33.135;7.3246;5.2352
2636,homogeneous,0.98,42,5,0.4,14,210,146,0.6952380952380952,True,0.8809523809523809,3.3968195078258763,0.036710058105490745,0.41834451901566005,3.353998868173528,0.03962939342403628,0.7332180100105016,14.433042682093127,0.8288453895071543,0.8907987639227776,0,0,0,,32.966;7.2894;5.6668
2637,homogeneous,0.98,42,5,0.4,14,210,149,0.7095238095238096,True,0.9523809523809523,3.4412585211077067,0.03562782678522927,0.39887088856161035,3.408283313726134,0.03720238095238095,0.7890749007263409,15.126586405337108,0.6766381766381766,0.8264651051600035,0,0,0,,31.725;9.4472;6.4268
2638,homogeneous,0.98,42,5,0.4,14,210,134,0.638095238095238,True,0.8095238095238095,3.3355163444351863,0.03846329437545654,0.44192406692406694,3.309292789075403,0.039965986394557826,0.7531318867451451,14.86424263032238,0.8111559139784946,0.8726320167660302,0,0,0,,33.528;8.0301;6.2748
2639,homogeneous,0.98,42,5,0.4,14,210,140,0.6666666666666666,True,0.8333333333333334,3.3579960090414036,0.03736318183865592,0.42122083732822,3.3297732740464734,0.03908021541950114,0.7502911576561412,14.76770308409382,0.7999162128194387,0.8734668303842973,0,0,0,,33.261;8.1482;5.9397
2640,prompt_diverse,0.0,42,5,0.4,14,210,138,0.6571428571428571,True,0.8809523809523809,3.378934592752381,0.03792711937716264,0.43469887955182074,3.3088612658272742,0.04216269841269841,0.7982891955152195,15.054459151030962,0.6967592592592592,0.8260612818628023,0,0,0,,30.589;8.2694;7.3452
2641,prompt_diverse,0.0,42,5,0.4,14,210,136,0.6476190476190476,True,0.8095238095238095,3.3749383079897086,0.036902851819264004,0.4229188078108943,3.3360393302342963,0.0390093537414966,0.8077860562756013,15.269160517044213,0.7960190136660725,0.8039009817648907,0,0,0,,30.842;9.791;6.85
2642,prompt_diverse,0.0,42,5,0.4,14,210,138,0.6571428571428571,True,0.8333333333333334,3.3530718666402506,0.038041451329319624,0.43673965936739667,3.297158073810848,0.04148951247165533,0.8212164591985168,15.493840032109876,0.7531565656565657,0.7902286155814958,0,0,0,,30.863;9.9073;7.5691
2643,prompt_diverse,0.0,42,5,0.4,14,210,149,0.7095238095238096,True,0.9523809523809523,3.4778508989388754,0.034320987654320984,0.37707231040564393,3.40043684354766,0.03879676870748299,0.852147302026931,15.646626333870984,0.6824861298545509,0.7285703564382633,0,0,0,,28.922;11.077;7.7975
2644,prompt_diverse,0.0,42,5,0.4,14,210,125,0.5952380952380952,True,0.7857142857142857,3.3017755297444524,0.040030302508565624,0.4658170322070738,3.2192440733643473,0.04520975056689342,0.8515100055984498,15.418023776513444,0.6806103302210088,0.7320626135947572,0,0,0,,27.993;9.6931;8.2124
2645,prompt_diverse,0.0,42,5,0.4,14,210,146,0.6952380952380952,True,0.9047619047619048,3.4308946048037354,0.035632810950208295,0.3977196512407781,3.3670091164268054,0.03978883219954649,0.8322867811384859,15.69043480464056,0.7225563909774436,0.779019641679152,0,0,0,,30.962;9.4076;8.7665
2646,prompt_diverse,0.0,42,5,0.4,14,210,134,0.638095238095238,True,0.8095238095238095,3.3308335496604125,0.03918444328824142,0.45583717357910913,3.2379791665117925,0.04558177437641723,0.8368553002356275,15.293190620425705,0.6395833333333333,0.7420934306822932,0,0,0,,28.491;10.414;7.0555
2647,prompt_diverse,0.0,42,5,0.4,14,210,136,0.6476190476190476,True,0.8809523809523809,3.3790138534281424,0.03789940828402368,0.43663003663003663,3.2872802535039902,0.04396967120181405,0.8385551166976937,15.46432535273623,0.6893557422969189,0.7650378343671251,0,0,0,,29.254;9.9247;7.8547
2648,prompt_diverse,0.0,42,5,0.4,14,210,147,0.7,True,0.9285714285714286,3.42064178131568,0.036760204081632664,0.41955782312925183,3.34143559655791,0.04235756802721088,0.8206187221548767,15.507870809820709,0.6852638352638353,0.7937878142659951,0,0,0,,31.018;9.3302;8.0536
2649,prompt_diverse,0.0,42,5,0.4,14,210,147,0.7,True,0.9523809523809523,3.445261939923946,0.03588319105374696,0.40624485088152906,3.4027467818742334,0.03808815192743764,0.7851215190097195,15.03848423304726,0.7361003861003862,0.842917125834621,0,0,0,,31.625;7.9033;7.3744
2650,prompt_diverse,0.0,42,5,0.4,14,210,139,0.6619047619047619,True,0.8571428571428571,3.3744664836678564,0.03738710354967443,0.4259834368530022,3.3018847726222424,0.04233985260770975,0.801533531877974,15.154658574170437,0.7599524658348188,0.8185059917114699,0,0,0,,30.815;8.9746;7.0634
2651,prompt_diverse,0.0,42,5,0.4,14,210,140,0.6666666666666666,True,0.9047619047619048,3.4007439287752477,0.037062067474048443,0.4243697478991597,3.334334938259373,0.04115291950113378,0.8141537785782048,15.248890805692987,0.7367552426375955,0.8041329799380272,0,0,0,,30.24;8.9883;7.5335
2652,prompt_diverse,0.0,42,5,0.4,14,210,141,0.6714285714285714,True,0.8809523809523809,3.4051693792692306,0.03696742760485189,0.4225058844830709,3.3400587553065835,0.040426587301587304,0.8313071851254188,15.323384323855294,0.7256344962227316,0.7798467617651855,0,0,0,,29.201;8.9644;8.1191
2653,prompt_diverse,0.0,42,5,0.4,14,210,150,0.7142857142857143,True,0.9523809523809523,3.4528113788856674,0.0351689871124683,0.39465570400822214,3.3976671079056198,0.038141298185941044,0.847959197540621,15.790286782686188,0.6366366366366366,0.751412863709673,0,0,0,,30.102;10.079;8.8473
2654,prompt_diverse,0.0,42,5,0.4,14,210,142,0.6761904761904762,True,0.8809523809523809,3.3921059493627665,0.03773096771558121,0.43586364435072933,3.293321842023912,0.045156604308390025,0.8143993341980394,15.292366600620376,0.6953625894802365,0.7991520109323061,0,0,0,,30.43;9.2785;7.4117
2655,prompt_diverse,0.0,42,5,0.4,14,210,142,0.6761904761904762,True,0.9047619047619048,3.3920239519038042,0.037349709290450846,0.4281321384642418,3.303747679958027,0.043633078231292526,0.8257444829822828,15.445623098620036,0.6896358543417366,0.7855589426298183,0,0,0,,30.257;9.4057;7.9387
2656,prompt_diverse,0.0,42,5,0.4,14,210,141,0.6714285714285714,True,0.8809523809523809,3.3752347316013966,0.038055419921875,0.44066220238095255,3.298236955593365,0.04258786848072562,0.8613372484167617,15.763464782449237,0.627450980392157,0.7275753414289802,0,0,0,,28.836;10.037;9.1504
2657,prompt_diverse,0.0,42,5,0.4,14,210,135,0.6428571428571429,True,0.8571428571428571,3.3468052203730325,0.03859813988198063,0.44423791821561354,3.262002229243672,0.0447314342403628,0.8024386721399156,15.118894971230317,0.7400560224089636,0.8176366423028146,0,0,0,,30.569;8.4406;7.4366
2658,prompt_diverse,0.0,42,5,0.4,14,210,145,0.6904761904761905,True,0.9285714285714286,3.4485254202900553,0.03508916323731138,0.3927689594356263,3.378101912171411,0.039381377551020405,0.8522734053968312,15.690824739009972,0.685027885027885,0.7399747243645879,0,0,0,,29.215;10.35;8.4462
2659,prompt_diverse,0.0,42,5,0.4,14,210,148,0.7047619047619048,True,0.9285714285714286,3.42781585104313,0.0358652983727242,0.4052494718023729,3.3874299350421446,0.03810586734693877,0.7913994127496443,15.221682577353441,0.7048262548262548,0.8316990566924686,0,0,0,,32.04;9.0475;6.9682
2660,prompt_diverse,0.0,42,5,0.4,14,210,132,0.6285714285714286,True,0.8571428571428571,3.3389945571824327,0.0396309111880046,0.46153127917833814,3.2305336276128243,0.047707624716553286,0.8195744629041025,15.167030518721532,0.7028824432999006,0.7900476170379567,0,0,0,,29.361;9.3823;7.1351
2661,prompt_diverse,0.0,42,5,0.4,14,210,142,0.6761904761904762,True,0.8809523809523809,3.39128902099302,0.03671654347695451,0.41066814322628287,3.3353800114850305,0.03970025510204081,0.8569440399835256,15.681164823721108,0.6667600373482726,0.7062234520367028,0,0,0,,28.621;11.574;7.6727
2662,prompt_diverse,0.0,42,5,0.4,14,210,139,0.6619047619047619,True,0.8095238095238095,3.3691475406379734,0.037164025581014,0.4255377826806399,3.2889761672868,0.04257015306122449,0.846552966082429,15.520303402675655,0.7970981158836946,0.7484399073756269,0,0,0,,28.882;9.8282;8.2622
2663,prompt_diverse,0.0,42,5,0.4,14,210,140,0.6666666666666666,True,0.8809523809523809,3.381435277026131,0.0372460637540736,0.4254585226316676,3.3379127933045813,0.039806547619047616,0.796793196563019,15.220833016526923,0.6927170868347338,0.818190673347944,0,0,0,,31.539;9.7621;6.558
2664,prompt_diverse,0.0,42,5,0.4,14,210,136,0.6476190476190476,True,0.8809523809523809,3.376253075888068,0.03749951824873781,0.4303635432667692,3.3073440439953803,0.04212726757369614,0.7987431152296643,15.185696150236799,0.7086834733893558,0.8188505753932898,0,0,0,,31.202;9.3204;6.8219
2665,prompt_diverse,0.0,42,5,0.4,14,210,146,0.6952380952380952,True,0.9047619047619048,3.4285949272504213,0.03591199099268155,0.4068819308545337,3.3858617661013644,0.03830073696145125,0.746714541183583,14.46697344261959,0.7810637705374548,0.8777393651185434,0,0,0,,31.95;7.7269;5.6102
2666,prompt_diverse,0.0,42,5,0.4,14,210,141,0.6714285714285714,True,0.8333333333333334,3.369055140215245,0.03780783905653833,0.4387267451783581,3.301785884225306,0.04281816893424036,0.809021598123644,15.391202867730359,0.7620320855614974,0.8103167215554801,0,0,0,,31.405;9.2261;7.5881
2667,prompt_diverse,0.0,42,5,0.4,14,210,141,0.6714285714285714,True,0.8809523809523809,3.420440070467938,0.036186702406619656,0.41203198836786625,3.3435181412525647,0.040851757369614515,0.8493069901274958,15.542597122650246,0.7160441954559601,0.7494645366865273,0,0,0,,28.778;9.5991;8.5851
2668,prompt_diverse,0.0,42,5,0.4,14,210,134,0.638095238095238,True,0.8095238095238095,3.3275261121041364,0.0392904878592114,0.4577114427860698,3.2550273798310694,0.04432397959183673,0.7833822305933285,14.833730645351906,0.7330473856209151,0.8364376277238494,0,0,0,,30.701;8.5745;6.3204
2669,prompt_diverse,0.0,42,5,0.4,14,210,138,0.6571428571428571,True,0.8571428571428571,3.3792264841578135,0.037579430206623736,0.4341894060995186,3.270774317619752,0.046414399092970515,0.8108979044120019,15.122844803578285,0.7599524658348188,0.8093712906409462,0,0,0,,29.884;8.6035;7.4777
2670,prompt_diverse,0.0,42,5,0.4,14,210,134,0.638095238095238,True,0.8095238095238095,3.3460261373142433,0.0385152222882492,0.44724730040715177,3.2683480643684146,0.04423540249433106,0.7993792835957713,15.055507563686334,0.7340686274509803,0.8239223860939986,0,0,0,,30.504;8.2142;7.419
2671,prompt_diverse,0.0,42,5,0.4,14,210,141,0.6714285714285714,True,0.9285714285714286,3.4015011616411086,0.037064462809917355,0.42034632034632047,3.3440309329222644,0.04071003401360545,0.8254462366222564,15.50393507895717,0.6577653283535637,0.787010545549843,0,0,0,,30.584;9.3511;8.1334
2672,prompt_diverse,0.0,42,5,0.4,14,210,137,0.6523809523809524,True,0.8571428571428571,3.36106315324964,0.03778681220761861,0.43265813788201846,3.318342781313265,0.040178571428571425,0.8391262450773307,15.639786289970214,0.7005347593582888,0.7647863949346568,0,0,0,,30.086;10.058;8.2271
2673,prompt_diverse,0.0,42,5,0.4,14,210,150,0.7142857142857143,True,0.9285714285714286,3.4632617012385527,0.03471938775510204,0.3865646258503401,3.398836103190163,0.03865504535147393,0.8230895251610225,15.39202688238321,0.6798529298529298,0.7784499654959566,0,0,0,,30.156;10.144;7.1906
2674,prompt_diverse,0.0,42,5,0.4,14,210,142,0.6761904761904762,True,0.9047619047619048,3.418818311967592,0.036199599019826244,0.4086709310589909,3.326591397500284,0.042711876417233556,0.8605231651407994,15.880566011194027,0.6427015250544663,0.7271753766067294,0,0,0,,29.48;10.093;9.4376
2675,prompt_diverse,0.0,42,5,0.4,14,210,136,0.6476190476190476,True,0.8095238095238095,3.3374276734579924,0.038739889314601955,0.4507389162561577,3.259256640481749,0.04396967120181406,0.8245631049784911,15.308616910666519,0.7302867383512545,0.7872154777770247,0,0,0,,29.667;9.2842;7.6596
