seed,condition,dependency,n_strata,items_per_stratum,hard_fraction,stopped_round,no_new_rounds,recall,false_completion,exposure_gini,exposure_entropy,exposure_hhi,exposure_max_mass,discovery_gini,discovery_entropy,discovery_hhi,discovery_max_mass,exposure_coverage_ratio,discovery_coverage_ratio,discovery_per_exposure,effective_rank_exposure,effective_rank_discovery,scout_strategy,scout_new_items,scout_cost,scout_novelty_per_cost
31986,prompt_diverse,0.0,42,5,0.4,14,0,0.6761904761904762,True,0.45734126984127,3.344824654862755,0.039735685941043083,0.07142857142857142,0.41058941058941056,3.3949906513526447,0.03648100151596655,0.04895104895104895,0.8809523809523809,0.8809523809523809,0.8511904761904762,0.8577426053530935,0.8053713067810425,none,0,0,
31987,prompt_diverse,0.0,42,5,0.4,14,0,0.6571428571428571,True,0.491638321995465,3.2960339457422436,0.04304846938775509,0.08928571428571429,0.4239189928845102,3.380372184331518,0.037271913213252884,0.04980842911877394,0.8809523809523809,0.8809523809523809,0.7767857142857143,0.9030065946483404,0.8332874272429809,none,0,0,
31988,prompt_diverse,0.0,42,5,0.4,14,0,0.6619047619047619,True,0.47123015873015883,3.337781809087726,0.04055059523809525,0.06845238095238096,0.41855120426549,3.404048477946319,0.036746619758202766,0.05791505791505792,0.8809523809523809,0.8809523809523809,0.7708333333333334,0.9225875421971432,0.8621299019472634,none,0,0,
31989,prompt_diverse,0.0,42,5,0.4,14,0,0.6666666666666666,True,0.4944727891156464,3.2972793389013666,0.04327876984126984,0.08630952380952381,0.41392632524707995,3.3905781880384316,0.03649697401210395,0.04905660377358491,0.8571428571428571,0.8571428571428571,0.7886904761904762,0.9023338881521541,0.859182514382059,none,0,0,
31990,prompt_diverse,0.0,42,5,0.4,14,0,0.6666666666666666,True,0.47335600907029485,3.3203450711004563,0.041206065759637193,0.08035714285714286,0.4163216011042099,3.3828351338281464,0.03712455366519639,0.05434782608695652,0.8809523809523809,0.8809523809523809,0.8214285714285714,0.8908257894108766,0.8302222972645827,none,0,0,
31991,prompt_diverse,0.0,42,5,0.4,14,0,0.6857142857142857,True,0.47137188208616787,3.323425281919732,0.04421768707482993,0.11607142857142858,0.39952904238618525,3.4250800982180003,0.03546270579237613,0.054945054945054944,0.8571428571428571,0.8571428571428571,0.8125,0.8915133352431024,0.8261751517433646,none,0,0,
31992,prompt_diverse,0.0,42,5,0.4,14,0,0.6428571428571429,True,0.5768140589569162,3.1435456125050005,0.055537840136054416,0.10714285714285714,0.4742941424357354,3.3233598342883015,0.04084109953794346,0.06637168141592921,0.8333333333333334,0.8333333333333334,0.6726190476190477,0.9294170281003197,0.8658281663895574,none,0,0,
31993,prompt_diverse,0.0,42,5,0.4,14,0,0.7238095238095238,True,0.4199263038548753,3.4257869359961015,0.03681264172335601,0.0625,0.38781275221953204,3.464062832423119,0.03478310830221201,0.05084745762711865,0.9523809523809523,0.9523809523809523,0.8779761904761905,0.8570620376173289,0.8117236524191217,none,0,0,
31994,prompt_diverse,0.0,42,5,0.4,14,0,0.6142857142857143,True,0.5338718820861679,3.2030786160964473,0.04584750566893423,0.0744047619047619,0.47234432234432244,3.2769791645695006,0.040502958579881655,0.057692307692307696,0.7380952380952381,0.7380952380952381,0.7738095238095238,0.9081749106458705,0.7988028269458153,none,0,0,
31995,prompt_diverse,0.0,42,5,0.4,14,0,0.680952380952381,True,0.4944727891156464,3.2992942180542335,0.04271187641723355,0.08333333333333333,0.42975734355044715,3.3807920549099477,0.03724255369122591,0.05747126436781609,0.8333333333333334,0.8333333333333334,0.7767857142857143,0.8975420940481761,0.8531292123310187,none,0,0,
31996,prompt_diverse,0.0,42,5,0.4,14,0,0.638095238095238,True,0.5168650793650795,3.2371436869497043,0.04492630385487528,0.08630952380952381,0.44859307359307365,3.3182000777845557,0.038682277318640955,0.056818181818181816,0.7380952380952381,0.7380952380952381,0.7857142857142857,0.9053185429620242,0.827454028304877,none,0,0,
31997,prompt_diverse,0.0,42,5,0.4,14,0,0.6619047619047619,True,0.48979591836734704,3.3082764014150863,0.04214498299319727,0.07142857142857142,0.430952380952381,3.3850476269702656,0.037633136094674564,0.05384615384615385,0.9047619047619048,0.9047619047619048,0.7738095238095238,0.9040221911315895,0.8163400923833511,none,0,0,
31998,prompt_diverse,0.0,42,5,0.4,14,0,0.6571428571428571,True,0.5148809523809526,3.266808291009589,0.045209750566893435,0.08630952380952381,0.4431115957833516,3.36354253412527,0.03819707476254297,0.05725190839694656,0.8333333333333334,0.8333333333333334,0.7797619047619048,0.8808807013792809,0.8299974702482557,none,0,0,
31999,prompt_diverse,0.0,42,5,0.4,14,0,0.638095238095238,True,0.5128968253968256,3.242919867282577,0.04432397959183673,0.08035714285714286,0.4485786710121311,3.317907355943409,0.03881796758663563,0.057034220532319393,0.7619047619047619,0.7619047619047619,0.7827380952380952,0.9088347405247119,0.8366178976309264,none,0,0,
32000,prompt_diverse,0.0,42,5,0.4,14,0,0.6238095238095238,True,0.523809523809524,3.2549079715253235,0.04574121315192744,0.08928571428571429,0.4588991490132175,3.3457501606541906,0.03956974945423527,0.057034220532319393,0.8809523809523809,0.8809523809523809,0.7827380952380952,0.8588457538274672,0.8083600937586072,none,0,0,
