source_coverage_ratio,coverage_entropy,coverage_hhi,coverage_gini,visit_entropy,visit_hhi,source_normalized_effective_rank,seed,condition,dependency,n_strata,items_per_stratum,hard_fraction,stopped_round,total_items,found_items,recall,false_completion,coverage_risk_lambda,scout_strategy,scout_new_items,scout_cost,scout_novelty_per_cost
1.0,2.7656038224913293,0.06575989082896164,0.21943515421776283,2.7499372370738393,0.06726544784580499,0.6501109847555392,10076,homogeneous,0.5,18,8,0.25,14,144,126,0.875,True,0.0,none,0,0,
1.0,2.733068033467837,0.06863544958345302,0.25367231638418075,2.7138323847434487,0.07047193877551021,0.6651142646142377,10077,homogeneous,0.5,18,8,0.25,14,144,121,0.8402777777777778,True,0.0,none,0,0,
0.9444444444444444,2.7210862650584664,0.0687445046045629,0.25774754346182904,2.702122257292119,0.07064909297052155,0.599011534916128,10078,homogeneous,0.5,18,8,0.25,14,144,119,0.8263888888888888,True,0.01431930797010162,none,0,0,
1.0,2.7311467803661857,0.06831111111111111,0.24111111111111105,2.7152893705708157,0.06981646825396826,0.6056365297564915,10079,homogeneous,0.5,18,8,0.25,14,144,120,0.8333333333333334,True,0.0,none,0,0,
1.0,2.7132546319500412,0.06918607269942796,0.24757643549589847,2.695291684365053,0.07114512471655328,0.620154972618183,10080,homogeneous,0.5,18,8,0.25,14,144,119,0.8263888888888888,True,0.0,none,0,0,
1.0,2.7717198158630745,0.06560515292103959,0.21662938105891127,2.7453979353764772,0.06864725056689343,0.7037869916865863,10081,homogeneous,0.5,18,8,0.25,14,144,124,0.8611111111111112,True,0.0,none,0,0,
1.0,2.7558902176607107,0.06665873959571939,0.23371647509578541,2.7224431815656276,0.07054280045351474,0.6516150729686939,10082,homogeneous,0.5,18,8,0.25,14,144,121,0.8402777777777778,True,0.0,none,0,0,
0.8333333333333334,2.665461291135602,0.07098893979360452,0.26870748299319724,2.6532472961256865,0.07247378117913833,0.6426466271351338,10083,homogeneous,0.5,18,8,0.25,14,144,115,0.7986111111111112,True,0.044784580498866196,none,0,0,
1.0,2.72401989642133,0.06891536873709889,0.256468797564688,2.6926336678370264,0.07263321995464853,0.6063813620653795,10084,homogeneous,0.5,18,8,0.25,14,144,121,0.8402777777777778,True,0.0,none,0,0,
0.9444444444444444,2.6905129189009713,0.0702054794520548,0.26027397260273966,2.676477404372232,0.07169430272108844,0.6756258351615066,10085,homogeneous,0.5,18,8,0.25,14,144,117,0.8125,True,0.014459665144596654,none,0,0,
1.0,2.6927532336681743,0.07039071151329404,0.26068376068376065,2.6809191704867446,0.07149943310657596,0.6110679413928851,10086,homogeneous,0.5,18,8,0.25,14,144,117,0.8125,True,0.0,none,0,0,
1.0,2.7272137967313315,0.06819592850374147,0.2356068940227356,2.7124018591215284,0.06978103741496598,0.589509411249833,10087,homogeneous,0.5,18,8,0.25,14,144,120,0.8333333333333334,True,0.0,none,0,0,
1.0,2.7234137757064816,0.0684931506849315,0.23972602739726034,2.7039167493151135,0.07052508503401361,0.625588315248581,10088,homogeneous,0.5,18,8,0.25,14,144,120,0.8333333333333334,True,0.0,none,0,0,
1.0,2.7281791219266562,0.0692997685185185,0.2704475308641976,2.6979053736433456,0.07247378117913832,0.6357206940004393,10089,homogeneous,0.5,18,8,0.25,14,144,120,0.8333333333333334,True,0.0,none,0,0,
1.0,2.719076269220674,0.06857540203750512,0.23938722775932075,2.707340619281593,0.06971017573696146,0.6211550632869242,10090,homogeneous,0.75,18,8,0.25,14,144,120,0.8333333333333334,True,0.0,none,0,0,
0.9444444444444444,2.7041740101157883,0.06933906407613702,0.2516556291390728,2.690302227318705,0.07086167800453515,0.6389700184505395,10091,homogeneous,0.75,18,8,0.25,14,144,119,0.8263888888888888,True,0.013980868285504051,none,0,0,
0.9444444444444444,2.6800172357564467,0.07072291387554597,0.2609094242757608,2.6648278859006025,0.07254464285714285,0.5871373902705327,10092,homogeneous,0.75,18,8,0.25,14,144,115,0.7986111111111112,True,0.014494968015320051,none,0,0,
1.0,2.7427076485626998,0.06736725191165792,0.22839506172839497,2.73085831562393,0.06850552721088435,0.6263509522439691,10093,homogeneous,0.75,18,8,0.25,14,144,122,0.8472222222222222,True,0.0,none,0,0,
1.0,2.727858682477053,0.06871367167934397,0.2504740235115661,2.703381796825821,0.0713045634920635,0.6340829139477421,10094,homogeneous,0.75,18,8,0.25,14,144,120,0.8333333333333334,True,0.0,none,0,0,
1.0,2.7308463657128894,0.06826635467599694,0.24566260612772228,2.7184518438212204,0.06940901360544217,0.6214956212329344,10095,homogeneous,0.75,18,8,0.25,14,144,121,0.8402777777777778,True,0.0,none,0,0,
0.9444444444444444,2.682660606327308,0.07053507728894175,0.2613026819923372,2.664293671820563,0.0727217970521542,0.6401756998870741,10096,homogeneous,0.75,18,8,0.25,14,144,116,0.8055555555555556,True,0.014516815666240962,none,0,0,
1.0,2.688004887608528,0.0710698454806199,0.27441077441077444,2.673314793095731,0.07256235827664399,0.5649728992999107,10097,homogeneous,0.75,18,8,0.25,14,144,117,0.8125,True,0.0,none,0,0,
1.0,2.7320538457102073,0.06822954711468225,0.24737237237237242,2.7176676923691576,0.06963931405895692,0.6562276188222411,10098,homogeneous,0.75,18,8,0.25,14,144,121,0.8402777777777778,True,0.0,none,0,0,
0.9444444444444444,2.6939684648754367,0.07051041471195346,0.27245053272450526,2.672521379744885,0.07284580498866214,0.6290256792028802,10099,homogeneous,0.75,18,8,0.25,14,144,117,0.8125,True,0.015136140706916965,none,0,0,
1.0,2.7419823432120376,0.06724050164283402,0.22751322751322745,2.723633871258632,0.0691078514739229,0.6831717654705504,10100,homogeneous,0.75,18,8,0.25,14,144,122,0.8472222222222222,True,0.0,none,0,0,
1.0,2.7498194927122723,0.0671186440677966,0.23521657250470818,2.725793831476917,0.06971017573696145,0.5987754952258962,10101,homogeneous,0.75,18,8,0.25,14,144,122,0.8472222222222222,True,0.0,none,0,0,
1.0,2.7202836023932226,0.06849463296398892,0.23501461988304095,2.706156733601829,0.07002905328798185,0.6026673759602127,10102,homogeneous,0.75,18,8,0.25,14,144,120,0.8333333333333334,True,0.0,none,0,0,
