task,budget,challenger,seed,decision,false_certification,safe,continue,abstain,cost,runtime_residual_items,repair_gain,cumulative_recall,after_support_ratio,after_exposure_gini,after_weak_plausible_gap
requests,1,random,124,ABSTAIN,False,False,False,True,1086,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,125,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,random,126,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,127,CONTINUE,False,False,True,False,1039,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,128,ABSTAIN,False,False,False,True,831,0,0,0.1040268456375839,0.25,0.888392857142857,15
requests,1,random,129,ABSTAIN,False,False,False,True,1039,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,130,ABSTAIN,False,False,False,True,831,0,0,0.1040268456375839,0.25,0.888392857142857,15
requests,1,random,131,CONTINUE,False,False,True,False,314,5,5,0.1208053691275167,0.2916666666666667,0.8846726190476191,14
requests,1,random,132,CONTINUE,False,False,True,False,1086,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,133,CONTINUE,False,False,True,False,1039,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,134,CONTINUE,False,False,True,False,831,9,9,0.1342281879194631,0.2916666666666667,0.8846726190476191,14
requests,1,random,135,CONTINUE,False,False,True,False,314,5,5,0.1208053691275167,0.2916666666666667,0.8846726190476191,14
requests,1,random,136,CONTINUE,False,False,True,False,1086,8,8,0.1308724832214765,0.2916666666666667,0.8846726190476191,14
requests,1,random,137,CONTINUE,False,False,True,False,314,5,5,0.1208053691275167,0.2916666666666667,0.8846726190476191,14
requests,1,random,138,CONTINUE,False,False,True,False,1039,20,20,0.1711409395973154,0.2916666666666667,0.8846726190476191,14
requests,1,random,139,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,random,140,CONTINUE,False,False,True,False,1039,20,20,0.1711409395973154,0.2916666666666667,0.8846726190476191,14
requests,1,random,141,ABSTAIN,False,False,False,True,314,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,142,CONTINUE,False,False,True,False,696,64,64,0.3187919463087248,0.2916666666666667,0.8846726190476191,14
requests,1,random,143,CONTINUE,False,False,True,False,1086,30,30,0.2046979865771812,0.2916666666666667,0.8846726190476191,14
requests,1,random,144,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,145,CONTINUE,False,False,True,False,1039,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,146,ABSTAIN,False,False,False,True,1086,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,147,ABSTAIN,False,False,False,True,696,0,0,0.1040268456375839,0.25,0.8891369047619047,15
requests,1,random,148,CONTINUE,False,False,True,False,696,38,38,0.2315436241610738,0.2916666666666667,0.8846726190476191,14
requests,1,random,149,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,150,CONTINUE,False,False,True,False,1039,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,151,ABSTAIN,False,False,False,True,831,0,0,0.1040268456375839,0.25,0.888392857142857,15
requests,1,random,152,CONTINUE,False,False,True,False,831,33,33,0.2147651006711409,0.2916666666666667,0.8846726190476191,14
requests,1,random,153,CONTINUE,False,False,True,False,831,33,33,0.2147651006711409,0.2916666666666667,0.8846726190476191,14
requests,1,random,154,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,155,CONTINUE,False,False,True,False,696,38,38,0.2315436241610738,0.2916666666666667,0.8846726190476191,14
requests,1,random,156,CONTINUE,False,False,True,False,1086,8,8,0.1308724832214765,0.2916666666666667,0.8846726190476191,14
requests,1,random,157,CONTINUE,False,False,True,False,696,64,64,0.3187919463087248,0.2916666666666667,0.8846726190476191,14
requests,1,random,158,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,random,159,ABSTAIN,False,False,False,True,1086,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,160,ABSTAIN,False,False,False,True,696,0,0,0.1040268456375839,0.25,0.8891369047619047,15
requests,1,random,161,CONTINUE,False,False,True,False,1086,8,8,0.1308724832214765,0.2916666666666667,0.8846726190476191,14
requests,1,random,162,CONTINUE,False,False,True,False,1039,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,163,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,random,164,ABSTAIN,False,False,False,True,1039,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,165,CONTINUE,False,False,True,False,1039,42,42,0.2449664429530201,0.2916666666666667,0.8846726190476191,14
requests,1,random,166,CONTINUE,False,False,True,False,1086,30,30,0.2046979865771812,0.2916666666666667,0.8846726190476191,14
requests,1,random,167,CONTINUE,False,False,True,False,831,9,9,0.1342281879194631,0.2916666666666667,0.8846726190476191,14
requests,1,random,168,ABSTAIN,False,False,False,True,314,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,169,ABSTAIN,False,False,False,True,1086,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,170,CONTINUE,False,False,True,False,831,7,7,0.1275167785234899,0.2916666666666667,0.8846726190476191,14
requests,1,random,171,CONTINUE,False,False,True,False,831,7,7,0.1275167785234899,0.2916666666666667,0.8846726190476191,14
requests,1,random,172,ABSTAIN,False,False,False,True,314,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,173,CONTINUE,False,False,True,False,831,7,7,0.1275167785234899,0.2916666666666667,0.8846726190476191,14
requests,1,random,174,ABSTAIN,False,False,False,True,314,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,175,ABSTAIN,False,False,False,True,831,0,0,0.1040268456375839,0.25,0.888392857142857,15
