method,risk_threshold,coverage,false_certification_rate,certified
confidence_only,0.65,1.0,0.811965811965812,936
confidence_only,0.7000000000000001,1.0,0.811965811965812,936
confidence_only,0.75,1.0,0.811965811965812,936
confidence_only,0.8,1.0,0.811965811965812,936
confidence_only,0.8500000000000001,1.0,0.811965811965812,936
confidence_only,0.9,1.0,0.811965811965812,936
confidence_only,0.9500000000000001,1.0,0.811965811965812,936
confidence_only,1.0,1.0,0.811965811965812,936
overlap_only,0.0,0.8910256410256411,0.8189448441247003,834
overlap_only,0.05,0.8963675213675214,0.8140643623361145,839
overlap_only,0.1,0.8985042735042735,0.812128418549346,841
overlap_only,0.15000000000000002,0.8985042735042735,0.812128418549346,841
overlap_only,0.2,0.8985042735042735,0.812128418549346,841
overlap_only,0.25,0.8985042735042735,0.812128418549346,841
overlap_only,0.30000000000000004,0.8985042735042735,0.812128418549346,841
overlap_only,0.35000000000000003,0.8995726495726496,0.8123515439429929,842
overlap_only,0.4,0.8995726495726496,0.8123515439429929,842
overlap_only,0.45,0.8995726495726496,0.8123515439429929,842
overlap_only,0.5,0.8995726495726496,0.8123515439429929,842
overlap_only,0.55,0.8995726495726496,0.8123515439429929,842
overlap_only,0.6000000000000001,0.9017094017094017,0.8116113744075829,844
overlap_only,0.65,0.907051282051282,0.8091872791519434,849
overlap_only,0.7000000000000001,0.9166666666666666,0.8065268065268065,858
overlap_only,0.75,0.9188034188034188,0.8069767441860465,860
overlap_only,0.8,0.9230769230769231,0.8078703703703703,864
overlap_only,0.8500000000000001,0.9273504273504274,0.8076036866359447,868
overlap_only,0.9,0.9391025641025641,0.8077360637087599,879
overlap_only,0.9500000000000001,0.9487179487179487,0.8085585585585585,888
overlap_only,1.0,1.0,0.811965811965812,936
no_new_item,0.0,0.03739316239316239,0.5428571428571428,35
no_new_item,0.05,0.7852564102564102,0.7673469387755102,735
no_new_item,0.1,0.8226495726495726,0.7779220779220779,770
no_new_item,0.15000000000000002,0.8525641025641025,0.7832080200501254,798
no_new_item,0.2,0.8589743589743589,0.7848258706467661,804
no_new_item,0.25,0.8675213675213675,0.7869458128078818,812
no_new_item,0.30000000000000004,0.8782051282051282,0.7883211678832117,822
no_new_item,0.35000000000000003,0.8878205128205128,0.7906137184115524,831
no_new_item,0.4,0.8920940170940171,0.7916167664670659,835
no_new_item,0.45,0.907051282051282,0.7950530035335689,849
no_new_item,0.5,0.9188034188034188,0.7976744186046512,860
no_new_item,0.55,0.9412393162393162,0.8024971623155505,881
